,age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
277,35,3,10,4,3,1,4,0,0,0,40,38,0
278,25,3,10,4,12,3,4,0,0,0,40,38,0
279,24,3,10,2,6,5,4,0,7298,0,48,38,1
280,22,3,13,4,9,1,4,0,0,0,15,10,0
281,42,1,10,2,2,0,4,1,5178,0,40,38,1
282,34,3,12,0,11,4,2,0,0,0,45,38,0
283,60,3,13,0,9,1,4,0,0,0,42,38,0
284,21,3,9,4,5,3,4,1,0,0,40,38,0
285,57,0,14,2,11,0,4,1,15024,0,40,38,1
286,41,3,15,2,9,0,4,1,0,0,60,38,1
287,50,3,10,0,7,1,4,1,0,0,45,38,0
288,25,3,13,4,3,1,4,0,0,0,40,38,0
289,50,3,4,2,2,0,4,1,0,0,40,6,0
290,36,3,13,2,9,0,4,1,0,0,45,38,0
291,31,3,9,0,9,1,4,0,0,0,40,38,0
292,29,1,13,4,10,1,4,1,0,0,56,38,0
293,21,3,10,4,11,3,4,1,0,0,45,38,0
294,27,3,13,4,12,4,2,0,0,0,40,38,0
295,65,3,9,2,13,0,4,1,0,0,16,38,0
296,37,4,13,0,11,1,4,0,0,0,60,38,0
297,39,3,14,2,9,5,1,0,3464,0,40,38,0
298,24,3,9,4,2,3,4,1,0,0,40,38,0
299,38,3,9,0,11,1,4,1,0,0,80,38,0
300,48,3,13,2,0,0,4,1,7688,0,40,38,1
301,21,3,10,4,7,1,1,0,0,0,25,38,0
302,31,3,9,2,13,0,4,1,0,0,45,38,1
303,55,3,9,2,11,0,4,1,4386,0,40,38,1
304,24,3,10,2,0,5,1,0,0,0,40,24,0
305,43,3,9,0,0,1,4,0,0,0,40,38,0
306,26,3,12,4,12,1,4,1,0,0,45,38,0
307,46,3,12,4,9,1,4,0,0,0,33,38,0
308,35,3,12,2,0,0,4,1,0,0,40,38,1
309,41,4,10,2,4,0,4,1,0,0,54,38,1
310,26,3,13,4,11,1,4,1,0,0,40,38,0
311,34,3,14,2,3,0,1,1,7298,0,35,35,1
312,19,3,10,4,9,3,2,0,0,0,25,38,0
313,36,5,13,0,9,1,2,0,0,0,40,38,1
314,22,3,10,4,11,3,4,1,0,0,15,38,0
315,24,3,10,4,6,1,4,1,0,0,40,38,0
316,77,5,10,2,11,0,4,1,0,0,40,38,0
317,22,3,3,2,6,2,4,0,0,0,40,25,0
318,29,3,10,4,12,1,4,0,0,0,40,38,0
319,62,3,9,6,7,1,4,0,0,0,24,38,0
320,39,5,9,2,3,0,4,1,0,0,40,38,0
321,43,3,10,2,2,0,4,1,0,1485,50,38,0
322,35,3,9,0,13,1,4,1,0,0,45,38,0
323,29,3,7,4,3,1,4,0,0,0,40,38,0
324,76,5,14,2,2,0,4,1,0,0,10,38,0
325,63,5,9,2,4,0,4,1,0,0,45,38,0
326,23,3,11,4,9,3,2,0,0,0,15,38,0
327,43,3,10,2,9,5,4,0,0,1887,50,38,1
328,58,5,9,2,5,0,4,1,0,0,40,38,0
329,66,3,9,4,13,1,4,1,2050,0,55,38,0
330,41,3,10,4,2,1,2,1,0,0,45,38,0
331,26,3,13,4,0,1,4,1,0,0,40,38,0
332,47,3,11,4,7,1,4,1,0,0,40,38,0
333,55,1,6,2,0,0,4,1,0,0,40,38,0
334,53,3,9,2,13,0,4,1,0,0,40,38,0
335,17,3,3,4,7,2,4,1,0,0,48,25,0
336,30,3,9,4,2,2,4,1,0,0,40,38,0
337,49,3,14,4,9,1,4,1,0,0,60,38,0
338,19,3,9,4,11,4,2,1,0,0,30,13,0
339,45,3,9,2,7,0,2,1,0,0,40,38,0
340,26,3,12,4,11,1,4,1,0,0,40,38,0
341,38,3,11,2,2,0,4,1,7298,0,40,38,1
342,36,6,9,2,10,0,4,1,7298,0,40,38,1
343,33,3,9,4,4,1,4,1,0,0,20,38,0
344,22,6,10,4,10,3,2,0,0,0,40,38,0
345,43,5,13,4,11,1,4,1,0,0,42,38,0
346,67,3,7,2,9,0,4,1,0,0,8,38,0
347,30,3,11,0,9,4,4,0,0,0,40,38,0
348,56,3,12,3,7,1,4,1,0,0,25,19,0
349,31,3,13,4,9,3,4,1,0,0,25,38,0
350,33,3,13,2,3,0,4,1,0,0,40,38,1
351,26,3,9,2,7,0,4,1,0,0,40,38,0
352,33,3,13,2,3,0,4,1,0,0,40,38,1
353,46,1,7,2,13,0,4,1,0,0,30,38,0
354,59,3,13,2,9,0,4,1,0,0,40,38,1
355,38,0,9,2,0,0,4,1,0,0,40,38,1
356,65,3,7,6,7,4,3,1,0,0,40,38,0
357,40,3,11,2,12,0,4,1,0,0,40,38,1
358,42,3,9,2,0,5,4,0,0,0,35,38,0
359,26,5,5,2,2,0,4,1,0,0,40,31,0
360,36,3,6,2,7,5,4,0,0,0,24,38,0
361,62,3,14,2,9,0,4,1,0,0,40,38,1
362,43,3,13,2,13,0,4,1,0,0,45,38,0
363,43,3,13,0,3,1,4,1,0,1564,45,38,1
364,22,3,9,3,11,1,4,1,0,0,55,38,0
365,28,3,9,2,2,0,4,1,0,0,40,38,0
366,56,5,10,2,11,0,4,1,0,0,45,38,0
367,22,3,12,4,11,1,4,0,0,0,15,38,0
368,57,3,13,0,3,1,4,0,0,0,45,38,1
369,39,3,9,0,11,4,4,0,0,0,40,38,0
370,26,0,10,4,0,4,4,0,0,0,15,38,0
371,17,3,7,4,7,3,4,1,0,0,10,38,0
372,40,6,11,2,6,0,4,1,0,0,38,38,1
373,45,3,9,2,6,0,2,1,0,0,40,38,0
374,44,3,9,4,2,1,2,1,0,0,40,38,0
375,20,1,10,4,0,3,4,0,0,0,10,38,0
376,33,3,9,2,2,5,4,0,0,0,40,38,0
377,23,3,10,4,11,1,4,1,0,0,40,38,0
378,46,5,14,0,3,1,4,1,0,0,30,38,0
379,38,3,9,2,11,0,4,1,0,0,50,38,0
380,54,3,9,0,13,1,4,1,0,0,40,38,0
381,46,3,3,0,2,1,4,0,0,2339,45,38,0
382,25,3,10,2,2,0,4,1,0,0,40,38,0
383,46,3,10,0,11,1,4,0,0,0,40,38,0
384,36,1,10,2,13,5,4,0,0,0,40,38,0
385,23,3,9,4,7,1,4,0,0,0,25,38,0
386,29,3,9,5,6,1,4,1,0,0,40,38,0
387,44,3,10,2,0,5,4,0,0,2415,6,38,1
388,19,3,10,4,0,3,4,0,0,0,16,38,0
389,19,3,9,4,7,2,4,0,0,0,40,38,0
390,35,3,9,2,7,5,4,0,0,0,40,38,1
391,27,3,13,4,2,1,4,1,0,0,50,38,0
392,46,5,12,5,2,1,4,1,0,0,40,38,0
393,34,6,13,2,3,0,4,1,7688,0,45,38,1
394,34,3,9,4,7,1,4,0,0,0,35,38,0
395,44,3,10,2,12,0,4,1,0,0,40,38,0
396,45,3,10,0,5,4,4,0,0,0,40,38,0
397,20,3,9,4,9,2,4,0,0,0,35,38,0
398,25,3,13,2,3,0,4,1,0,0,55,38,1
399,52,4,13,2,3,0,4,1,0,0,50,38,1
400,20,3,10,4,5,3,4,1,0,0,40,38,0
401,28,3,10,4,7,1,4,0,0,0,40,38,0
402,50,6,13,2,10,0,4,1,0,0,40,38,1
403,34,3,11,0,12,1,4,0,0,0,64,38,0
404,28,3,4,2,5,0,3,1,0,2179,40,32,0
405,41,3,14,2,3,0,4,1,0,1977,65,38,1
406,28,3,9,2,0,0,4,1,0,0,40,38,0
407,46,5,9,2,2,0,4,1,0,0,25,38,0
408,28,3,10,2,9,5,4,0,0,1887,40,38,1
409,32,3,10,2,3,0,4,1,0,0,50,38,0
410,41,1,10,0,7,1,2,0,0,0,24,38,0
411,24,3,9,4,5,4,2,0,0,0,40,38,0
412,33,3,10,0,3,4,4,0,0,0,40,38,0
413,46,3,16,2,3,0,4,1,15024,0,60,38,1
414,31,6,10,2,6,0,4,1,0,0,40,38,0
415,35,3,8,0,2,1,4,1,0,0,50,38,1
416,52,3,2,2,6,0,4,1,0,0,40,25,0
417,30,3,7,4,7,3,4,0,0,0,19,38,0
418,34,1,7,5,6,1,2,1,0,0,40,38,0
419,34,6,9,0,13,4,4,0,0,0,40,38,0
420,20,3,10,2,11,0,4,1,0,0,30,38,0
421,17,3,7,4,5,3,4,1,2176,0,18,38,0
422,32,6,13,2,3,5,4,0,0,0,40,38,1
423,29,3,9,0,4,1,4,1,0,0,40,38,0
424,33,3,6,4,2,4,4,0,0,0,35,38,0
425,25,3,9,2,13,0,4,1,0,0,60,38,0
426,36,0,14,4,9,1,4,1,0,1408,40,38,0
427,23,3,9,4,5,1,4,1,0,0,72,5,0
428,63,4,9,2,3,0,4,1,0,0,40,38,1
429,47,1,14,2,9,0,4,1,0,0,40,38,0
430,80,3,9,6,9,1,4,1,0,0,24,38,0
431,17,3,7,4,9,3,4,1,0,0,40,38,0
432,40,5,13,3,9,1,4,0,2174,0,40,38,0
433,30,3,12,2,7,5,4,0,0,0,25,38,1
434,27,3,10,4,2,3,1,1,0,1980,40,29,0
435,33,3,14,2,9,0,4,1,0,0,50,38,1
436,34,1,9,4,4,1,2,1,594,0,60,38,0
437,34,1,10,4,10,1,4,0,0,0,40,38,0
438,23,3,10,2,0,0,4,1,0,0,40,38,0
439,42,1,10,2,0,5,4,0,0,0,40,38,0
440,29,3,13,4,9,1,4,1,0,0,40,38,0
441,45,3,9,0,0,1,4,0,0,0,28,38,0
442,24,0,9,4,1,3,4,1,0,0,40,38,0
443,44,3,10,2,9,0,4,1,0,0,40,38,1
444,27,3,5,4,2,2,4,1,0,0,40,25,0
445,20,3,10,4,11,1,4,1,0,0,35,38,0
446,44,3,9,6,3,4,2,0,0,0,40,38,0
447,51,3,9,2,2,0,0,1,0,0,40,38,0
448,20,3,9,2,6,0,4,1,0,0,40,38,0
449,17,3,7,4,9,3,4,0,0,0,5,38,0
450,19,3,9,4,6,3,2,0,0,0,40,38,0
451,45,4,10,2,2,0,4,1,0,0,55,38,1
452,60,3,9,2,2,0,4,1,0,0,40,38,1
453,42,3,12,2,3,0,2,1,0,0,40,38,1
454,44,5,9,2,11,5,4,0,0,0,40,38,1
455,40,3,11,2,6,0,1,1,0,0,40,38,1
456,30,3,9,2,3,5,4,0,0,0,40,38,0
457,38,3,10,2,13,0,2,1,0,0,50,38,0
458,23,3,9,2,13,0,4,1,0,0,60,38,0
459,32,3,10,2,9,0,4,1,0,0,40,38,0
460,44,3,12,4,4,3,4,1,0,0,40,38,0
461,54,1,9,2,13,0,2,1,0,0,40,38,0
462,32,3,13,2,9,0,4,1,0,0,50,38,0
463,50,3,2,3,2,4,4,1,0,0,40,38,0
464,24,3,13,4,12,1,4,0,0,0,20,38,0
465,37,3,9,2,0,5,4,0,0,0,60,38,0
466,52,3,9,0,13,4,4,1,0,0,40,38,0
467,38,3,10,2,13,0,4,1,0,0,40,38,0
468,49,3,14,2,3,0,4,1,0,1977,45,38,1
469,30,3,13,2,12,5,4,0,0,0,16,38,1
470,60,3,10,4,9,4,4,1,0,0,40,38,1
471,22,3,10,4,9,3,4,1,0,0,40,38,0
472,35,3,9,4,2,1,4,1,0,0,40,38,0
473,30,3,9,4,13,1,4,1,0,0,60,38,0
474,67,3,11,0,7,1,4,0,0,0,24,38,0
475,46,3,13,4,2,1,4,0,0,0,40,38,0
476,17,3,5,4,7,1,4,1,0,0,6,38,0
477,22,3,10,4,5,3,4,1,0,0,30,38,0
478,27,3,6,4,7,1,4,1,0,0,40,38,0
479,23,3,9,4,7,4,4,0,0,0,35,38,0
480,33,3,12,2,2,0,4,1,0,0,45,31,0
481,43,5,10,2,2,0,4,1,0,0,20,38,0
482,28,6,13,4,9,1,4,1,0,0,20,38,0
483,41,3,9,3,2,4,4,0,0,0,40,38,0
484,52,3,8,4,9,2,2,1,594,0,40,38,0
485,25,3,10,3,0,3,2,0,0,0,20,38,0
486,63,3,2,2,9,0,4,1,0,0,35,38,0
487,59,1,9,2,13,0,4,1,0,0,45,38,0
488,45,1,13,0,9,4,4,0,0,0,40,38,0
489,38,3,13,2,11,0,4,1,15024,0,60,38,1
490,40,3,9,4,7,1,4,0,0,0,35,38,0
491,46,0,9,0,0,1,4,1,0,0,40,38,0
492,35,3,12,4,3,1,4,0,0,0,60,38,0
